,location,size,total_sqft,bath,price,bhk,price_per_sqft
61,Kanakpura Road,2 BHK,800.0,2.0,41.145,2,5143.125000000001
62,Kanakpura Road,3 BHK,1530.0,2.0,70.99,3,4639.869281045751
63,Magadi Road,2 BHK,1000.0,2.0,46.5,2,4650.0
64,Magadi Road,3 BHK,1187.0,2.0,55.195,3,4649.957877000842
65,Mysore Road,2 BHK,1005.0,2.0,35.175,2,3499.9999999999995
66,Mysore Road,2 BHK,1029.5,2.0,50.855,2,4939.776590577951
67,Old Madras Road,4 BHK,3715.0,6.0,224.5,4,6043.06864064603
68,Old Madras Road,4 BHK,3715.0,6.0,200.5,4,5397.039030955585
69,Old Madras Road,5 BHK,5020.0,7.0,287.0,5,5717.131474103586
70,Old Madras Road,4 BHK,3715.0,6.0,212.5,4,5720.053835800808
71,Rajaji Nagar,4 BHK,3539.5,2.0,424.5,4,11993.21938126854
72,Sarjapur,2 BHK,1242.5,2.0,43.49,2,3500.201207243461
73,Sarjapur,1 BHK,649.5,1.0,17.535,1,2699.7690531177827
74,Sarjapur,4 Bedroom,2585.5,4.0,139.5,4,5395.4747631019145
75,Sarjapur,4 BHK,2302.5,2.0,80.59,4,3500.108577633008
76,Sarjapur,4 Bedroom,2585.5,4.0,115.0,4,4447.882421195127
77,Sarjapur  Road,1 BHK,615.0,1.0,17.835,1,2900.0
78,Sarjapur  Road,4 Bedroom,3416.5,6.0,143.0,4,4185.570027806234
79,Sarjapur  Road,2 BHK,975.0,2.0,28.275,2,2900.0
80,Sarjapur  Road,3 BHK,1272.5,2.0,40.72,3,3200.0
81,Sarjapur  Road,4 Bedroom,3385.5,6.0,142.0,4,4194.358292718948
82,Sarjapur  Road,3 BHK,1773.5,2.0,85.125,3,4799.830842965886
83,Sarjapur  Road,3 BHK,1773.5,2.0,102.92,3,5803.213983648154
84,Talaghattapura,3 BHK,2038.5,3.0,122.0,3,5984.792739759627
85,Thanisandra,2 BHK,1185.5,2.0,58.68,2,4949.810206663855
86,Thanisandra,3 BHK,2336.5,3.0,115.89,3,4959.982880376631
87,Thanisandra,1 BHK,784.0,1.0,35.285,1,4500.6377551020405
88,Thanisandra,1 BHK,777.0,1.0,38.535,1,4959.459459459459
89,Thanisandra,2 BHK,1131.0,2.0,55.975,2,4949.160035366932
90,Thanisandra,1 BHK,747.0,1.0,34.355,1,4599.062918340026
91,Thanisandra,1 BHK,777.0,1.0,38.46,1,4949.80694980695
92,Thanisandra,3 BHK,1533.0,3.0,75.885,3,4950.097847358122
93,Tumkur Road,1 BHK,700.0,1.0,30.09,1,4298.571428571428
94,Tumkur Road,3 BHK,1343.5,3.0,57.76,3,4299.218459248233
95,Varthur Road,1 BHK,552.5,1.0,13.26,1,2400.0
96,Whitefield,1 BHK,665.0,2.0,28.585,1,4298.496240601504
97,Whitefield,4 BHK,2856.0,5.0,145.5,4,5094.53781512605
98,Whitefield,1 BHK,630.5,1.0,32.79,1,5200.634417129262
99,Whitefield,1 BHK,709.0,1.0,34.385,1,4849.788434414669
100,Whitefield,3 BHK,2094.0,2.0,113.19,3,5405.444126074499
101,Whitefield,1 BHK,709.0,1.0,34.735,1,4899.153737658674
102,Whitefield,1 BHK,630.5,1.0,32.15,1,5099.127676447264
103,Whitefield,4 BHK,2856.0,5.0,154.5,4,5409.663865546218
104,Whitefield,4 BHK,2856.0,5.0,158.5,4,5549.7198879551825
105,Whitefield,4 BHK,2856.0,5.0,157.5,4,5514.705882352941
106,Whitefield,3 BHK,1495.0,2.0,61.28,3,4098.996655518395
107,Whitefield,3 BHK,1495.0,2.0,60.55,3,4050.1672240802677
108,Whitefield,3 BHK,1639.5,3.0,92.63,3,5649.893260140287
109,Whitefield,4 BHK,2858.0,4.0,137.0,4,4793.561931420574
110,Whitefield,2 BHK,955.0,2.0,38.19,2,3998.952879581152
111,Whitefield,4 BHK,2856.0,5.0,154.5,4,5409.663865546218
112,Yelahanka,2 BHK,1132.5,2.0,48.13,2,4249.889624724062
113,Yelahanka,3 BHK,1450.0,3.0,65.255,3,4500.3448275862065
114,Yelahanka,3 BHK,1662.0,2.0,67.98,3,4090.2527075812272
115,Yelahanka,4 BHK,3461.0,2.0,173.0,4,4998.55533082924
116,Yelahanka,4 BHK,2912.5,6.0,125.5,4,4309.01287553648
117,Yelahanka,2 BHK,1405.0,2.0,50.58,2,3600.0
118,Yelahanka,1 BHK,827.5,1.0,42.535,1,5140.181268882176
119,Yelahanka,2 BHK,1195.0,2.0,53.105,2,4443.933054393306
120,Yeshwanthpur,2 BHK,717.0,2.0,49.475,2,6900.278940027894
121,Yeshwanthpur,1 BHK,605.0,1.0,41.745,1,6899.999999999999
122,other,4 BHK,3317.5,5.0,268.5,4,8093.443858327054
123,other,3 BHK,1732.5,3.0,91.855,3,5301.875901875902
124,other,1 BHK,801.0,1.0,33.645,1,4200.374531835207
125,other,1 BHK,720.0,1.0,32.39,1,4498.611111111111
